"Order create date","Order id","Order item id","Transaction date","Seller sku","Item status","Shipping amount","Paid price","Commissionamount Expected Commission (5%)","Transactionfee Expected Transaction Fee ( 2% )","Fblfee Expected Fbl Fee ( 2 MYR )","Expectedreceiveamount Paid Price - ( Commission + TransactionFee + FBL Fee )","Totalfeeses Sum of all feeses","Receivingdifference Expected Recieving - Total feeses","Shipping Fee Paid By Seller - Amount","Shipping Fee Paid By Seller - VAT In Amount","Commission - Amount","Commission - VAT In Amount","Item Price Credit - Amount","Item Price Credit - VAT In Amount","Payment Fee - Amount","Payment Fee - VAT In Amount","Shipping Fee (Paid By Customer) - Amount","Shipping Fee (Paid By Customer) - VAT In Amount","Promotional Charges Vouchers - Amount","Promotional Charges Vouchers - VAT In Amount","FBL Handling Fee - Amount","FBL Handling Fee - VAT In Amount","Reversal Commission - Amount","Reversal Commission - VAT In Amount","Payment Fee Credit - Amount","Payment Fee Credit - VAT In Amount","Reversal Item Price - Amount","Reversal Item Price - VAT In Amount","Promotional Charges Bundles - Amount","Promotional Charges Bundles - VAT In Amount","Lost Claim - Amount","Lost Claim - VAT In Amount","Payment Fee - Correction For Undercharge - Amount","Payment Fee - Correction For Undercharge - VAT In Amount","Commission Fee - Correction For Undercharge - Amount","Commission Fee - Correction For Undercharge - VAT In Amount","Other Debits (Returns) - Amount","Other Debits (Returns) - VAT In Amount","Reversal Shipping Fee (Paid By Customer) - Amount","Reversal Shipping Fee (Paid By Customer) - VAT In Amount","Reversal Promotional Charges Vouchers - Amount","Reversal Promotional Charges Vouchers - VAT In Amount","FBL Handling Fee Refund - Correction For Overcharge - Amount","FBL Handling Fee Refund - Correction For Overcha - VAT In Amount","Crossbroder Shipping Fee Refund - correction For Overc - Amount","Crossbroder Shipping Fee Refund - correction Fo - VAT In Amount","Shipping Fee (Charged By 3P) - Amount","Shipping Fee (Charged By 3P) - VAT In Amount","Shipping Fee - Correction For Undercharge - Amount","Shipping Fee - Correction For Undercharge - VAT In Amount","Commission Rebate - Amount","Commission Rebate - VAT In Amount","Adjustments Claim - Amount","Adjustments Claim - VAT In Amount","Shipping Fee Refund - Correction For Overcharge - Amount","Shipping Fee Refund - Correction For Overcharge - VAT In Amount","Promotional Charges Flexi-Combo - Amount","Promotional Charges Flexi-Combo - VAT In Amount","Shipping Fee Voucher (by Lazada) - Amount","Shipping Fee Voucher (by Lazada) - VAT In Amount","Damaged Claim - Amount","Damaged Claim - VAT In Amount","Reversal Promotional Charges Flexi-Combo - Amount","Reversal Promotional Charges Flexi-Combo - VAT In Amount","Seller Funded Marketing Voucher - Amount","Seller Funded Marketing Voucher - VAT In Amount"
"2019-02-08 13:01:06",215432087589169,215432087789169,2019-02-11,HP8233/03,Delivered,4.20,148.00,7.40,2.96,2.00,135.64,134.48,-1.16,-4.20,0.00,-7.84,0.44,148.00,0.00,-3.14,0.18,4.20,0.00,0.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 22:45:25",215459011135373,215459011335373,2019-02-11,MG1100/16,Delivered,4.50,75.00,3.75,1.50,2.00,67.75,67.73,-0.02,-4.50,0.00,-3.98,0.23,75.00,0.00,-1.59,0.09,4.50,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 09:17:41",215426810360399,215426810560399,2019-02-11,HX8211/02,Delivered,3.80,439.37,21.97,8.79,2.00,406.61,405.06,-1.55,-3.80,0.00,-23.29,1.32,499.37,0.00,-9.32,0.53,3.80,0.00,-60.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 17:46:01",215449007371127,215449007571127,2019-02-11,FC9728/61,Delivered,11.40,688.00,34.40,13.76,2.00,637.84,635.69,-2.15,-8.00,0.00,-36.46,2.06,748.00,0.00,-14.59,0.83,11.40,0.00,-60.00,0.00,-4.66,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 22:32:06",215452897828309,215452898028309,2019-02-11,GC507/60,Delivered,8.00,197.00,9.85,3.94,2.00,181.21,179.84,-1.37,-8.00,0.00,-10.44,0.59,197.00,0.00,-4.18,0.24,8.00,0.00,0.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 09:39:48",215649317695244,215649317895244,2019-02-11,HX8911/02,Delivered,4.00,314.76,15.74,6.30,2.00,290.73,290.9,0.17,-4.50,0.00,-16.68,0.94,366.00,0.00,-6.68,0.38,4.00,0.00,-51.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 22:52:28",215455470103659,215455470403659,2019-02-11,S1070/05,Delivered,4.00,127.28,6.36,2.55,2.00,116.37,117.84,1.47,-4.00,0.00,-6.74,0.38,148.00,0.00,-2.70,0.15,4.00,0.00,-20.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:26:22",215686519592377,215686519792377,2019-02-11,FC8794/01,Delivered,4.50,938.00,46.90,18.76,2.00,870.34,862.2,-8.14,-9.00,0.00,-49.71,2.81,998.00,0.00,-19.89,1.13,4.50,0.00,-60.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 09:52:54",215426239436016,215426239636016,2019-02-11,HP8316/00,Delivered,3.80,129.00,6.45,2.58,2.00,117.97,117.33,-0.64,-4.20,0.00,-6.84,0.39,129.00,0.00,-2.73,0.15,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 10:53:56",215653101982163,215653102182163,2019-02-11,S7370/12,Delivered,3.80,461.97,23.10,9.24,2.00,427.63,425.99,-1.64,-3.80,0.00,-24.49,1.39,521.97,0.00,-9.79,0.55,3.80,0.00,-60.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 18:40:43",215670576461407,215670576961407,2019-02-11,BHD002/03,Delivered,3.80,58.00,2.90,1.16,2.00,51.94,52,0.06,-3.80,0.00,-3.07,0.17,58.00,0.00,-1.23,0.07,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 09:33:22",215645975318464,215645975518464,2019-02-11,GC507/60,Delivered,8.00,197.00,9.85,3.94,2.00,181.21,179.84,-1.37,-8.00,0.00,-10.44,0.59,197.00,0.00,-4.18,0.24,8.00,0.00,0.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:18:17",215682193693212,215682193993212,2019-02-11,HD3129/60,Delivered,8.56,118.68,5.93,2.37,2.00,108.37,107.9,-0.47,-8.00,0.00,-6.29,0.36,138.00,0.00,-2.51,0.14,8.56,0.00,-19.32,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:18:17",215682193693212,215682193893212,2019-02-11,GC507/60,Delivered,8.54,169.42,8.47,3.39,2.00,155.56,154.85,-0.71,-8.00,0.00,-8.98,0.51,197.00,0.00,-3.59,0.20,8.54,0.00,-27.58,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 16:35:38",215665175436719,215665175636719,2019-02-11,HD7431/20,Delivered,4.50,110.00,5.50,2.20,2.00,100.30,99.3,-1.00,-4.50,0.00,-5.83,0.33,110.00,0.00,-2.33,0.13,4.50,0.00,0.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 05:40:43",215423211320883,215423211520883,2019-02-11,MG7730/15,Delivered,3.80,214.14,10.71,4.28,2.00,197.15,196.55,-0.60,-3.80,0.00,-11.35,0.64,249.00,0.00,-4.54,0.26,3.80,0.00,-34.86,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 15:14:26",215661768687751,215661768887751,2019-02-11,S1070/05,Delivered,4.80,148.00,7.40,2.96,2.00,135.64,137.02,1.38,-4.80,0.00,-7.84,0.44,148.00,0.00,-3.14,0.18,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 21:28:05",215454658107661,215454658307661,2019-02-11,BHD002/03,Delivered,3.80,58.00,2.90,1.16,2.00,51.94,52,0.06,-3.80,0.00,-3.07,0.17,58.00,0.00,-1.23,0.07,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 21:06:58",215679141944159,215679142144159,2019-02-11,HP6420/00,Delivered,4.50,114.00,5.70,2.28,2.00,104.02,103.84,-0.18,-4.50,0.00,-6.04,0.34,114.00,0.00,-2.42,0.14,4.50,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 14:26:14",215660177440598,215660177640598,2019-02-11,BHD029/03,Delivered,4.00,73.00,3.65,1.46,2.00,65.89,67.08,1.19,-4.50,0.00,-3.87,0.22,73.00,0.00,-1.55,0.09,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:17:14",215457286980723,215457287180723,2019-02-11,HP8108/03,Delivered,4.50,35.00,1.75,0.70,2.00,30.55,30.7,0.15,-4.50,0.00,-1.86,0.11,35.00,0.00,-0.74,0.04,4.50,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 14:15:02",215660349790912,215660350190912,2019-02-11,MY0016341,Delivered,4.50,129.00,6.45,2.58,2.00,117.97,116.89,-1.08,-4.50,0.00,-6.84,0.39,129.00,0.00,-2.73,0.15,4.50,0.00,0.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:38:15",215685947428274,215685947628274,2019-02-11,BHD002/03,Delivered,3.80,58.00,2.90,1.16,2.00,51.94,52,0.06,-3.80,0.00,-3.07,0.17,58.00,0.00,-1.23,0.07,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 21:52:41",215680548802108,215680549202108,2019-02-11,BHD029/03,Delivered,4.80,73.00,3.65,1.46,2.00,65.89,67.58,1.69,-4.80,0.00,-3.87,0.22,73.00,0.00,-1.55,0.09,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 22:41:21",215459603384419,215459603584419,2019-02-11,HD3175/62,Delivered,9.00,491.00,24.55,9.82,2.00,454.63,452.03,-2.60,-9.00,0.00,-26.02,1.47,551.00,0.00,-10.41,0.59,9.00,0.00,-60.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 13:46:25",215658747442471,215658747642471,2019-02-11,HX8911/02,Delivered,4.00,314.76,15.74,6.30,2.00,290.73,290.9,0.17,-4.50,0.00,-16.68,0.94,366.00,0.00,-6.68,0.38,4.00,0.00,-51.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 10:39:42",215428624732174,215428624932174,2019-02-11,MG7710/15,Delivered,3.80,228.00,11.40,4.56,2.00,210.04,208.99,-1.05,-4.20,0.00,-12.08,0.68,228.00,0.00,-4.83,0.27,3.80,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 13:01:49",215435414143610,215435414343610,2019-02-11,BHD029/03,Delivered,4.80,73.00,3.65,1.46,2.00,65.89,67.58,1.69,-4.80,0.00,-3.87,0.22,73.00,0.00,-1.55,0.09,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 20:19:02",215451081308282,215451081508282,2019-02-11,FC8776/01,Delivered,4.50,1268.00,63.40,25.36,2.00,1177.24,1173.76,-3.48,0.00,0.00,-67.20,3.80,1268.00,0.00,-26.88,1.52,4.50,0.00,0.00,0.00,-4.66,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 15:10:53",215665303853805,215665304053805,2019-02-11,HP8632/03,Delivered,1.90,116.10,5.80,2.32,2.00,105.97,104.74,-1.23,-2.10,0.00,-6.16,0.35,135.00,0.00,-2.46,0.14,1.90,0.00,-18.90,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 15:10:53",215665303853805,215665304153805,2019-02-11,BHS675/03,Delivered,1.90,183.10,9.15,3.66,2.00,168.28,166.77,-1.51,-2.10,0.00,-9.71,0.55,212.91,0.00,-3.88,0.22,1.90,0.00,-29.81,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 10:12:52",215424867152303,215424867352303,2019-02-11,HD4931WITHPOT,Delivered,4.20,204.68,10.23,4.09,2.00,188.35,192,3.65,0.00,0.00,-10.84,0.61,238.00,0.00,-4.34,0.25,4.20,0.00,-33.32,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 12:14:27",215651184720108,215651184920108,2019-02-12,HP8233/03,Delivered,4.50,148.00,7.40,2.96,2.00,135.64,134.48,-1.16,-4.50,0.00,-7.84,0.44,148.00,0.00,-3.14,0.18,4.50,0.00,0.00,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 14:51:12",215438056615834,215438056815834,2019-02-12,GC4933/80,Delivered,12.00,333.68,16.68,6.67,2.00,308.32,316.43,8.11,-4.50,0.00,-17.68,1.00,388.00,0.00,-7.07,0.40,12.00,0.00,-54.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:56:03",215685352516485,215685352716485,2019-02-13,HR7759/91,Delivered,9.00,240.80,12.04,4.82,2.00,221.94,217.09,-4.85,-12.30,0.00,-12.76,0.72,280.00,0.00,-5.11,0.29,9.00,0.00,-39.20,0.00,-2.54,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 09:17:38",215644199955835,215649300155835,2019-02-13,GC4933/80,Delivered,12.00,333.68,16.68,6.67,2.00,308.32,316.43,8.11,-4.50,0.00,-17.68,1.00,388.00,0.00,-7.07,0.40,12.00,0.00,-54.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 23:27:23",215684561650139,215684561850139,2019-02-14,FC6409/01,Delivered,8.50,1209.00,60.45,24.18,2.00,1122.37,1123.29,0.92,-4.50,0.00,-64.08,3.63,1269.00,0.00,-25.63,1.45,8.50,0.00,-60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 12:35:25",215655929475975,215655929675975,2019-02-14,FC6167/01,Delivered,13.00,568.00,28.40,11.36,2.00,526.24,534.06,7.82,-4.80,0.00,-30.10,1.70,628.00,0.00,-12.04,0.68,13.00,0.00,-60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 20:39:34",215677743561255,215677745761255,2019-02-17,HR3700/01,Delivered,2.25,83.00,4.15,1.66,2.00,75.19,72.89,-2.30,-4.50,0.00,-4.40,0.25,83.00,0.00,-1.76,0.10,2.25,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"2019-02-08 20:39:34",215677743561255,215677745861255,2019-02-17,HR3700/01,Delivered,2.25,83.00,4.15,1.66,2.00,75.19,72.89,-2.30,-4.50,0.00,-4.40,0.25,83.00,0.00,-1.76,0.10,2.25,0.00,0.00,0.00,-1.70,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
